prompt,completion
since then i have this fear of village people,dont have boundaries ^ dont say that infront of my mother
being very violent against community people,sshe will feel bad ^ both our parents should shift to some common city
ok,lol
delhi,whaaat
it was really good ^ seriously,you liked delhi ^ damnnnn
i am saying,people are so bad ^ there
south delhi ^ was good ^ clean ^ greenary,generally also ^ they are show offs
beautiful ^ nahh ^ those rouge bikers ^ are bad,chalo having lunch ^ bye
common people are helpful ^ only ^ autos wale bhaiya ^ were really helpful,i dont want my parents to suffer in pollution ^ delhi should be nuked ^ they are the worst people
ok,take maasi out ^ i will nuke it one day ^ even bangalore is better than delhi
hmm,good ^ if you are feeling well.. can we work on the SOP today evening? ^ i need to submit the TU Delft application before 30th
ok then bangalore,you can just close telegram
sure ^ if it's ok with you ^ can i switch off notification till 5 pm? ^ will put it back after that,you dont have to ask ^ sorry
ohh ok ^ but if it is ok ^ stuck in the middle of something,arey yaar
,will help you out
he is not clearly telling me how to grant license ^ now i have to figure it out myself,so much to do in the evening today
awww ^ thank you!! ^ i think i bought wrong lehenga,ohh ^ why?
i don't feel very happy with it now,Hmm
it's very expensive ^ and it's not i was looking for,Saw in a glance ^ Dont remember
have u seen it ^ the color is a bit dull for duppatta and all ^ will have to buy separate duppatta,Its nice
 ^  ^ Dupatta is dull no,It will look good with jewelry ^ Your face is not there ^ So cant say ohh my god
Nice ^ But not like ^ Ohh my god,Hmm ^ Your choice ^ I liked it
That will come later ^ But will definitely change the dupattas,Ok
I took this ^ Because it's night wedding,Yes
Gold and maroon looks good,Lol
My mom will kill me ^ If i open my mouth,Yes ^ She will
Now,But i dont see the problem ^ Its very nice ^ Will all the jewellery ^ It will be very nice ^ Too heavy will also look bad
Ummm ^ What should I do,Its a good blend of simplicity and complexity
It is too heavy,Yaa. You said you want more work on dupatta no
This lehenga was heaviest of most,Also blouse you can make make accordingly
Yes,You havent made the blouse yet right?
Yes,which video? ^  ^ 
Yes ^  ^ The comment section on this video is hilarious,They are saying it's good ^ That guy took 500 ^ Per day ^ He didnt wear a coat
Nice ^  ^ What's this 🤣🤣 ^ Cryptic message ^ Hi ^ Can u ask ur mom ^ About cook coat,Cycling tomorrow? ^ I will bring the pump
lol ^ thanks babe,Ok
arey ^ it needs ^ servicing,Ok. Will give for service on saturday
telling u it's not easy to drive it ^ *ride,Food street
i will collect ^ if it's close ^ nearby,Yes
mere wala,Just buy cycles ^ He will take 1k ^ I have to give my other cycle also there ^ Going to sleep ^ Good night ^ Love you😘😘 ^ Will go cycling tomorrow
ok,Lol ^ You are putting people with treadmill to shame
ok ^ have fun ^ love you too ^ i will run at one place,Ikr
yup] ^ exactly ^ pretty dumb people,Lol ^ You are thinking too much
"who buy device of 26k ^ well buying lehenga of worth 30k is n't being smart ^ that even for one day ^ but what to do , 300 people will come ^ i think we can recover the cost from gifts ^  ^ If everyone gives like 2k, which is next to impossible ^ ",Whom? ^ Good morning booboo ^ How is your throat? ^ It can even help write blogs
I want to get married in royal retreat not some stupid boho avn place ^ I sent them mail regarding cost and quote ^ It's not our parents wedding 💒 ^ It's mine.,do you have holiday today?
Ok ^ Okish,Erntedankfest
No ^ I guess ^ There are total of 26 ^ Holidays ^ Only,you dont have this?
It u want u can take,?
Thanks giving,yes.. this isi german thanksgiving ^ lol why?
Is there ^ I can take,i was just asking ^ thanksgiving ^ is holiday or not for you ^ just curious
I wont ^ I can ^ But i wont,Aww ^ Leaving ^ Had a meeting
Nope ^ U went out ^ I love my two maids ^ They are so professional,Must have snowed yesterday ^ You need to give me one day with your laptop ^ I will make it as good as new
My windows is frozen ^ Don't know why,is there a way for me to use your grammarly? ^ for this week? ^ i need to do a lot of writing
Lol,do they have just 1 month plan
Hmm ^ Can u check ^ If there is a plan ^ For two emails,nice ^ haffun
Yep ^  ^ My lunch and breakfast,reimbursement? ^ 30 dollars for a month
U can check ^ Will get reimbursement,thats too much ^ no nothing like that
If there is a plan ^ For two emails,can i login with your email id on incognito ^ i will only use for this ^ i promise
Hmm ok ^ Use mine then,you saw that notion AI? ^ its mind blowing ^ this ^ password?
Lol ^ Ok,ok ^ otp
"[{'type': 'mention', 'text': '@ScaleAI1995'}]",7 ^ shit i closed by mistake ^ leave it ^ it wont work like this ^ will figure out something
Which number,Doctor? ^ Sure
My throat pain is increasing ^ And my jaws started hurting too ^ Can we go to doctor,I will leave office by 6
Today evening ^ Do u know anyone,Yes.. near your house only
Ok,Yes
Is he good,Rwth ^ Eth
"Saturday list
Cycle Deni hai
Tanishq
Shoes from??? Marina Mall
Shoe repair


Spar: 
Double sided tape
Pampass grass
Tongs
Hotpots
Casserole",Exactly ^ Very tough ^ Good morning sweetie ^ How are you feeling
Tougher to get into eth,Aww. Ok ^ You need to take morning medicine baby ^ Have some bread toast
Morning ^ Had pain in the morning ^ But when i applied heat ^ It's ok ^ Now,Good
Yup ^ Going to,hey sorry i was bathing ^ but why do you want it to hallucinate ^ that depends on the amount of guidance ^ you can easily use the existing intent based system as guidance
"Hi ^ Ur idea for generative chatbots was good ^ These guys also want to get into generative assistants ^ But the thing is that generative models hallicianated ^ Meaning they can also give u wrong info ^ If we can provide a real world for the chatbot and an imaginary where it is allowed to hallucination meaning both, it would be great",You should make a stable diffusion based text generator ^ You encode and decode text instead of images ^ This can be solved with some human loop ^ Using databases ^ Of correct responses
